Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
5.967741935,2.971428571,5.55483871,14.72666667,28.07333333,37.25666667,49.4483871,53.87741935,49.38,29.76129032,12.63666667,5.012903226
13.73548387,15.12142857,16.44516129,24.36666667,36.64333333,52.52333333,65.22258065,65.39677419,59.66666667,38.03225806,18.94666667,13.23225806
6.780645161,6.857142857,9.838709677,19.39333333,27.69,35.01666667,45.20322581,49.15483871,44.18666667,26.78709677,11.05,6.629032258
5,5.128571429,10.55483871,21.00666667,33.39666667,42.78333333,55.92903226,61.66129032,57.33,32.48387097,11.35,5.006451613
6.509677419,3.835714286,7.535483871,17.70666667,34.42,44.08,59.31290323,66.06774194,62.72666667,37.79032258,16.72333333,8.95483871
6.493548387,4.575,9.374193548,20.39333333,32.35333333,40.57,56.67741935,62.17741935,56.56666667,33.24516129,12.91666667,7.638709677
6.835483871,4.010714286,6.680645161,14.82666667,28.35666667,37.56666667,52.48709677,58.6,54.01333333,33.13225806,15.84,8.841935484
5.325806452,3.157142857,4.061290323,8.136666667,21.97,34.79333333,51.90645161,59.29677419,51.19,31.68387097,12.25,6.64516129
12.09354839,13.82857143,16.59677419,23.36333333,33.53,42.91,58.28387097,64.16774194,59.03666667,36.82258065,18.05,11.92580645
4.903225806,7.253571429,10.01612903,18.87333333,31.04666667,40.05333333,54.95806452,60.90322581,53.20666667,29.00322581,8.48,4.074193548
3.809677419,2.45,4.325806452,9.74,22.28,31.90333333,41.27741935,48.54193548,50.45,31.03225806,11.25666667,3.732258065
5.941935484,2.932142857,8.641935484,17.21666667,33.53333333,45.71,63.42580645,69.48709677,61.95,34.78064516,13.56,7.548387097
8.922580645,9.35,15.1483871,25.81,35.37333333,43.58666667,59.24193548,64.09354839,58.84,38.31290323,19.91,10.30645161
16.71612903,15.21785714,17.03548387,26.28666667,38.43,48.01666667,63.60967742,68.98387097,63.96333333,42.7,25.43666667,17.10322581
15.9516129,14.65,17.82580645,28.78666667,42.85333333,54.87333333,71.00322581,70.95806452,65.42,40.40645161,23.24,15.25806452
7.690322581,4.271428571,10.28709677,19.6,36.15,49.01666667,65.6516129,69.65806452,61.86666667,36.56129032,15.15,8.832258065
