Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,RAWS
1.587096774,1.928571429,1.725806452,4.376666667,11.70666667,14.94,17.07096774,16.13548387,11.90666667,7.270967742,5.89,1.04516129,170791
1.874193548,2.639285714,3.5,11.66333333,18.54666667,17.29,17.8,16.04193548,12.7,8.716129032,10.73,3.093548387,300011
0.55483871,0.496428571,0.5,0.5,0.103333333,0.356666667,0.038709677,0,0,0,0,0.04516129,170850
1.390322581,3.582142857,3.825806452,7.996666667,16.07666667,18.19333333,19.66451613,18.19354839,13.86,7.248387097,8.02,2.04516129,171603
1.067741935,0.882142857,0.967741935,2.436666667,12.66,15.36666667,17.46774194,16.36774194,13.29666667,8.206451613,7.713333333,1.506451613,172501
1.493548387,4.310714286,4.35483871,7.46,17.67,19.89666667,21.63548387,21.73548387,16.49666667,10.16129032,11.44333333,5.461290323,191203
1.422580645,1.957142857,1.648387097,2.633333333,9.956666667,15.41,17.28709677,17.1483871,12.61,7.267741935,4.72,0.65483871,192701
1.735483871,2,2.151612903,5.823333333,14.93666667,15.78333333,18.46451613,18.12258065,14.85666667,9.422580645,9.033333333,2.706451613,270071
2.361290323,2.396428571,3.083870968,11.72666667,17.82666667,19.44666667,19.39354839,17.48709677,14.16333333,8.074193548,7.893333333,4.183870968,270131
1.551612903,2.3,2.077419355,1.863333333,6.73,14.65666667,16.06451613,15.06774194,11.68,6.193548387,2.15,0.8,270301
2.148387097,2.725,3.096774194,6.443333333,17.94333333,16.36333333,18.68709677,18.09,14.86333333,8.941935484,8.703333333,1.738709677,300191
1.948387097,4.267857143,3.951612903,3.606666667,10.98666667,14.15333333,15.71612903,14.84333333,12.35,7.038709677,7.563333333,4.587096774,431303
2.774193548,2.242857143,3.64516129,14.93,18.47666667,19.70666667,21.15483871,20.44333333,17.72333333,12.06129032,12.39666667,4.867741935,305103
3.258064516,2.942857143,3.416129032,10.64,15.20666667,16.33,18.09354839,18.36333333,15.01,10.85806452,10.63,4.267741935,370450
2.135483871,2.075,2.193548387,5.113333333,14.95,15.95666667,18.39354839,17.82666667,13.54333333,7.819354839,8.313333333,2.825806452,431301
1.848387097,2.014285714,2.322580645,6.22,17.74333333,16.79,18.8,19.41333333,14.75666667,8.977419355,9.363333333,2.377419355,430501
1.787096774,2.446428571,2.780645161,3.243333333,13.17333333,15.45,18.02580645,16.25666667,12.14333333,7.280645161,5.38,1.167741935,430601
1.167741935,1.707142857,2.422580645,7.896666667,15.91666667,15.47333333,16.41290323,16.96666667,14.74666667,10.0516129,7.593333333,1.525806452,361231
2.574193548,3.278571429,4.596774194,12.83666667,13.96666667,15.41333333,18.52903226,18.41666667,14.92,9.412903226,9.046666667,3.970967742,305702
1.432258065,1.946428571,1.990322581,2.123333333,10.47666667,14.46333333,16.71290323,15.49333333,11.66333333,7.180645161,4.686666667,1.019354839,430402
1.54516129,1.946428571,2.25483871,4.93,16.83,18.55666667,19.78387097,18.68666667,14.87333333,8.732258065,8.086666667,2.638709677,300311
1.516129032,2.028571429,2.358064516,8.223333333,18.40666667,18.26,22.32580645,20.64666667,15.51333333,8.906451613,9.553333333,2.551612903,301011
1.919354839,5.671428571,6.45483871,10.01,20.04666667,19.15,19.03225806,18.28333333,15.76,10.90322581,12.11666667,8.767741935,300971
1.519354839,1.892857143,1.903225806,5.303333333,16.94333333,16.69,18.31290323,18.13333333,13.2,7.635483871,7.616666667,1.680645161,300892
1.309677419,1.878571429,1.8,2.97,12.08666667,13.93333333,15.46129032,15.50666667,11.30333333,6.506451613,3.51,0.870967742,300891
3.374193548,6.521428571,5.183870968,12.16333333,17.04666667,17.8,19.3516129,16.97333333,14.64333333,11.72258065,12.57666667,3.967741935,300712
1.235483871,1.725,2.303225806,8.84,19.28666667,18.74666667,18.62903226,16.06666667,12.9,8.280645161,8.666666667,2.009677419,301101
1.987096774,2.689285714,2.625806452,3.106666667,10.70666667,14.15333333,16.06451613,16.07333333,11.74,5.764516129,3.726666667,0.838709677,300411
2.032258065,2.571428571,2.538709677,2.716666667,9.716666667,14.80333333,16.27096774,16.00333333,12.96333333,6.2,4.146666667,1.048387097,311312
